Institution Name,Mission statement (IC2020mission)
Mesivtha Tifereth Jerusalem of America,The Guiding Principle of Mesivtha Tifereth Jerusalem is to provide educational facilities to serve the needs of the community in educating and developing leaders  helping young people attain a high level of scholarship and who adhere to personal standards.  Most of our graduates are people who are aware of the problems of the community and are involved.
Messenger College,The mission of Messenger College is to educate and train leaders to effectively and efficiently change their world.
Messiah University,Messiah University is a Christian university of the liberal and applied arts and sciences. The University is committed to an embracing evangelical spirit rooted in the Anabaptist Pietist and Wesleyan traditions of the Christian Church.
Methodist College,Methodist College is committed to providing quality educational programs that promote holistic development civic engagement and community service to a diverse student population of future healthcare and human services professionals.
Methodist University,Methodist University historically supported by the North Carolina Annual Conference of the United Methodist Church owes its origin and values to the life and teachings of Jesus Christ. The University is committed to an ecumenical spirit respects diversity and recognizes the dignity and worth of all human beings. The Universitys programs are based on the conviction that a liberally-educated person is sensitive to the needs and rights of others. Methodist University affirms the importance of intellectual values and ethical principles such as truth virtue justice and love. The University community seeks to develop whole persons who will contribute substantially and creatively to the professions and to civic life. Therefore Methodist University provides opportunities for spiritual academic and social growth to the end that students may acquire enlightened minds and responsible spirits as well as a continuing thirst for knowledge.
Metropolitan College of New York,TOO MANY REQUEST
Metropolitan State University,Metropolitan State University is a comprehensive urban university committed to meeting the higher education needs of the Twin Cities and greater metropolitan population.
Metropolitan State University of Denver,Metropolitan State University of Denver is a comprehensive university offering bachelors and masters degrees on the Auraria Campus in downtown Denver. Founded in 1965 MSU Denver has grown to over 20000 students and educates more undergraduate Coloradans than anyone else in the state.
Miami International University of Art & Design-Art Institute Dallas,Miami International University of Art & Design is a multi-campus  career-oriented institution that provides students with academic preparation and practical skills through programs in the applied arts and design industries. The institution prepares its undergraduate students for entry-level positions and its graduate students for advancement in their chosen fields. The University is dedicated to fostering a culture that encourages creativity  research  and learning-centered endeavors.
Miami Regional University,In addition to the general admission requirements and procedures applicants wishing consideration for admission to the Master of Business Administration program must:
Miami University-Hamilton,TOO MANY REQUEST
Miami University-Middletown,TOO MANY REQUEST
Miami University-Oxford,07/01/2018Love and HonorThe Code of Love and Honor is a personalized pledge derived from the Miami University Values Statement. Its first line -I am Miami- signifies that each and every member of our community contributes to who we are and what we aspire to be individually and collectively as Miamians.06/23/2018Smoke- and Tobacco-Free EnvironmentThis policy prohibits the use of tobacco and smoking on University property. In order to promote the health of our students faculty staff and visitors all Miami University campuses are designated as Smoke- and Tobacco-Free Environments. Smoking is defined as the burning of tobacco or any other material in any type of smoking equipment including but not restricted to cigarettes electronic cigarettes vaporizers hookahs cigars or pipes. Smoking is prohibited at all times in all prohibited areas. The use of any tobacco product including chewing tobacco is also prohibited.05/30/2018Miami University Mission StatementThis policy contains the University Mission Statement. Miami University a student-centered public university founded in 1809 has built its success through an unwavering commitment to liberal arts undergraduate education and the active engagement of its students in both curricular and co-curricular life. 05/28/2018University Statement Asserting Respect for Human DiversityThis policy asserts Miami Universitys respect for Human Diversity. Miami University is a community dedicated to intellectual engagement. Our campuses consist of students faculty and staff from a variety of backgrounds and cultures. By living working studying and teaching we bring our unique viewpoints and life experiences together for the benefit of all. 05/28/2018Distinctive Features of Miami UniversityThis policy describes the distinctive features of Miami University.05/27/2018University Values StatementThis policy is a statement of the values of Miami University and reads: Miami University is a scholarly community whose members believe that a liberal education is grounded in qualities of character as well as of intellect.We respect the dignity of other persons the rights and property of others and the right of others to hold and express disparate beliefs. We believe in honesty integrity and the importance of moral conduct. We defend the freedom of inquiry that is the heart of learning and combine that freedom with the exercise of judgment and the acceptance of personal responsibility. 05/05/2018University Statement of Non-Discrimination This policy prohibits discrimination on the basis of age color disability gender identity or expression genetic information military status national origin (ancestry) pregnancy race religion sex/gender status as a parent or foster parent sexual orientation or protected veteran status in its application and admission processes educational programs and activities facilities programs or employment practices. The policy also identifies and provides contact information for the Title IX ADA and Section 504 Coordinators for the University.05/02/2018Prohibiting Harassment and DiscriminationThis policy governs the process for reporting investigating and resolving reports of harassment and discrimination.05/02/2018Prohibiting Harassment and DiscriminationThis policy governs the process for reporting investigating and resolving reports of harassment and discrimination.
Michigan State University,Michigan State University a member of the Association of American Universities and one of the top 100 research universities in the world was founded in 1855. We are an inclusive academic community known for our traditionally strong academic disciplines and professional programs and our liberal arts foundation. Our cross- and interdisciplinary enterprises connect the sciences humanities and professions in practical sustainable and innovative ways to address societys rapidly changing needs.
Michigan Technological University,Study and Live Degrees / Majors Colleges and Departments Library Events Calendar Arts and Entertainment Fitness and Recreation Campus and Beyond
Mid-America Christian University,Mid-America Christian University prepares students through a Wesleyan perspective to create collaborate and innovate to solve local and global problems for the glory of God through Jesus Christ and the good of society.
Mid-Atlantic Christian University,Mid-Atlantic Christian University is an institution of Christian higher education whose mission is to impact the world by transforming ordinary people into extraordinary Christian leaders.
Mid-South Christian College,Mid-South Christian College exists to glorify God by partnering with Christian Churches in raising up individuals called by God to fulfill the global vision of Christ by facilitating their academic  practical and spiritual preparation.
MidAmerica Nazarene University,MidAmerica Nazarene UniversityMain Campus2030 East College WayOlathe KS 66062-1899
Middle Georgia State University,Approved by the Board of Regents in March 2015 the mission of the institution is as follows:
Middle Tennessee State University,Middle Tennessee State University embraces its role as a comprehensive innovative institution whose distinctive bachelors masters specialist and doctoral programs prepare graduates to thrive in their chosen professions and a changing global society. Students faculty and staff generate preserve and disseminate knowledge and collaboratively promote excellence through teaching and learning research creative activity and public engagement.
Middlebury College,The Writing and Rhetoric Program (WRPR) has a multipronged mission. Our program-specific (WRPR) courses engage contemporary socially relevant themes and are designed to build student confidence awareness of rhetorical conventions and skills in writing. We employ inclusive and antiracist pedagogies designed to facilitate students sense of belonging and agency at Middlebury and offer opportunities for them to write for a variety of audiences and in a range of modalities. We also support the teaching and learning of Writing across the Curriculum (WAC) and Writing in the Disciplines (WID) across College departments and programs through pedagogy workshops and individualized consulting as well as through administration of the second-level College writing requirement. More broadly we seek to promote an institutional culture in which writing furthers learning and thinking and deepens our connections as an academic community.
Midland University,TOO MANY REQUEST
Midway University,TOO MANY REQUEST
Midwestern Baptist Theological Seminary,Midwestern Baptist Theological Seminary serves the church by Biblically educating God-called men and women to be and make disciples of Jesus Christ.
Midwestern State University,Midwestern State University is a leading public liberal arts university committed to providing students with rigorous undergraduate and graduate education in the liberal arts and the professions. Through an emphasis upon teaching augmented by the opportunity for students to engage in research and creative activities alongside faculty and to participate in co-curricular and service programs Midwestern State prepares its graduates to embark upon their careers or pursue advanced study. The universitys undergraduate education is based upon a comprehensive arts and sciences core curriculum. The understanding that students gain of themselves others and the social and natural world prepares them to contribute constructively to society through their work and through their private lives.
Midwives College of Utah,Midwives College of Utah (MCU) provides an educational structure and an integrated learning environment for individuals to become midwives of technical expertise professional excellence and personal greatness—namely Midwives of Excellence.
Miles College,Miles College is a senior  private  liberal arts Historically Black College with roots in the Christian Methodist Episcopal Church. The College through dedicated faculty cultivates students to seek knowledge that leads to intellectual and civic empowerment. Students are transformed through rigorous study  scholarly inquiry  and spiritual awareness  thereby enabling graduates to become responsible citizens who help shape the global society.
Millennia Atlantic University,Vision & Mission  It is Millennia Atlantic University's mission to develop new generations of college-level professionals through a contemporary and competitive education in a range of academic and practical subjects.    The general education offerings of the University are designed to produce graduates with a wide breadth and depth of knowledge  competence and the aptitude to become successful and responsible leaders in local and global business communities.    Millennia Atlantic University  through its educational offerings  diverse learning environment  and attentiveness to its students  is committed to elevating the quality of each student's professional  personal and family life.     This vision is fulfilled by uncovering each learner's capabilities and assisting in the development of the attributes and base of knowledge graduates need to face the challenges of economic  technological and organizational growth in regional and global business communities.
Millersville University of Pennsylvania,The Council of Trustees endorsed the 2020-25 Strategic Plan on June 10 2020. The new strategic plan will serve as a blueprint to guide the future of Millersville University.
Milligan University,Its not just our Christian focus or our close-knit community. Its not our nationally recognized academic value or our idyllic location. Its not our extracurriculars or our passion for service. Its all of these and more.
Millikin University,Though the integration of theory and practice we prepare students for professional success democratic citizenship in a global environment and a personal life of meaning and value.
Mills College,TOO MANY REQUEST
Millsaps College,Millsaps College is dedicated to academic excellence  open inquiry and free expression  the exploration of faith to inform vocation  and the innovative shaping of the social  economic  and cultural progress of our region.
Milwaukee Institute of Art & Design,TOO MANY REQUEST
Milwaukee School of Engineering,MSOE is the university of choice for those seeking an inclusive community of experiential learners driven to solve the complex challenges of today and tomorrow.
Minneapolis College of Art and Design,TOO MANY REQUEST
Minnesota State University Moorhead,Founded as a normal school for teachers MSU Moorhead is and always has been a place for transforming lives. We exist to help others shape their world. Our mission vision and values are enduring and unwavering guiding all that we do.
Minnesota State University-Mankato,Minnesota State University Mankato promotes learning through effective undergraduate and graduate teaching scholarship and research in service to the state the region and the global community.
Minot State University,Approved by the North Dakota State Board of Higher Education September 2016
Misericordia University,MU typically likes to see students with a history of proven success in the classroom with a minimum high school grade point average of 2.5. Minimum *SAT requirement is typically an 850 (Math + Critical Reading) but other factors can be taken into consideration. A number of programs have requirements for direct entry that are higher than university minimums. We advise checking the admission requirements for your program of interest within its designated section of the website. View our list of majors to find your program. *Note: Misericordia will be Test-Optional for Fall 2021 Admissions
Mississippi College,Mississippi College governed by a Board of Trustees elected by the Mississippi Baptist Convention is a private co-educational comprehensive university of liberal arts and sciences and professional studies dedicated to the pursuit of academic excellence. Founded in 1826 Mississippi College is the oldest institution of higher learning and the largest private university in the state of Mississippi. As a Christian institution Mississippi College values the integration of faith and learning throughout the educational process.
Mississippi State University,Mississippi State University will be a leading student-centric public research university that is globally involved accessible inclusive community engaged and responsive to the many constituencies it serves while fully integrated with the intellectual social and economic development of the state and beyond by delivering excellent programs of teaching research and service and instilling in its community the timeless values of integrity hard work and respect.
Mississippi University for Women,Building on its long tradition of excellence in liberal arts and professional education as well as its historic focus on academic and leadership development for women Mississippi University for Women will continue to be a university that prepares both women and men for successful lives by providing a high-quality education in a personalized learning environment.
Mississippi Valley State University,Mississippi Valley State University as a Carnegie Classified Masters University provides comprehensive undergraduate and graduate programs in education the arts and sciences and professional studies. The University is driven by its commitment to excellence in teaching learning service and research--a commitment resulting in a learner-centered environment that prepares critical thinkers exceptional communicators and service-oriented engaged and productive citizens. MVSU is fundamentally committed to positively impacting the quality of life and creating extraordinary educational opportunities for the Mississippi Delta and beyond.
Missouri Baptist University,Missouri Baptist University is an evangelical Christian  liberal arts institution and has as its purpose the offering of programs of study leading to professional certificates  undergraduate degrees  and graduate degrees in an environment where academic excellence is emphasized and a Biblically based Christian perspective is maintained. The University is committed to enriching its students’ lives spiritually  intellectually  and professionally  and to preparing students to serve in a global and culturally diverse society.
Missouri Southern State University,TOO MANY REQUEST
Missouri State University-Springfield,Missouri State University is a comprehensive institution offering undergraduate and graduate programs including the professional doctorate. The university educates students to be global citizen scholars committed to public affairs.
Missouri University of Science and Technology,I am pleased to introduce our Code of Conduct — Our Community Our Commitment. It is a resource designed to support us in doing all we can to live up to the promise of our mission vision and values.
Missouri Valley College,TOO MANY REQUEST
Missouri Western State University,Missouri Western State University is a student-centered learning community preparing individuals for lives of excellence through applied learning.
Mitchell College,Mitchell College celebrates and develops the power of unique minds.
Molloy College,Molloy University an independent Catholic university rooted in the Dominican tradition of study spirituality service and community is committed to academic excellence with respect for each person. Through transformative education Molloy promotes a lifelong search for truth and the development of ethical leadership.
Monmouth College,TOO MANY REQUEST
Monmouth University,Monmouth University is an independent comprehensive institution of higher education committed to excellence and integrity in teaching scholarship and service. Through its offerings in liberal arts science and professional programs Monmouth University educates and prepares students to realize their potential as leaders and to become engaged citizens in a diverse and increasingly interdependent world.
Monroe College,TOO MANY REQUEST
Montana State University,The Mission Vision and Values are the foundation of the strategic plan defining what we do why we do it and how we do it. Together they describe Montana State Universitys strategic direction.
Montana State University Billings,Montana State University Billings delivers a transformative education that empowers students from diverse backgrounds to succeed.
Montana State University-Northern,MSU Northern provides higher education to students for professional and technical careers through an institution dedicated to teaching and the pursuit of knowledge.
Montana Technological University,TOO MANY REQUEST
Montclair State University,Montclair State University is committed to serving the educational needs of New Jersey with programs characterized by academic rigor and currency in the development of knowledge and its applications. The University will offer a comprehensive range of baccalaureate masters and certificate programs and a focused portfolio of doctoral programs that are closely aligned with the Universitys academic strengths and the needs of the state.
Montreat College,TOO MANY REQUEST
Montserrat College of Art,TOO MANY REQUEST
Moody Bible Institute,Sorry but you have encountered an error. Either the page or document you are looking for is not available or the link you clicked on is broken. Please navigate using the links below or Search our website.
Moore College of Art and Design,Adopted by Moores Boards of Trustees and Managers September 22 2020
Moravian University,Moravian Universitys liberal arts education prepares each individual for a reflective life fulfilling careers and transformative leadership in a world of change.
Morehead State University,As a community of lifelong learners we will:
Morehouse College,TOO MANY REQUEST
Morgan State University,TOO MANY REQUEST
Morningside University,The Morningside College experience cultivates a passion for life-long learning and a dedication to ethical leadership and civic responsibility.
Morris College,Morris College will be a premier liberal art and career-focused institution in Sumter the state of South Carolina and the southern region; as well as carry out its stated mission as an institution that is totally committed to excellence in all areas of operation and is driven toward continuous improvement.
Mount Aloysius College,The mission of Mount Aloysius College is to respond to individual and community needs with quality programs of education in the tradition of the Religious Sisters of Mercy.  Each student will have the opportunity to acquire knowledge and to develop values  attitudes  and competencies necessary for lifelong learning within an environment which reflects a liberal arts orientation and a Catholic  Judeo-Christian heritage.
Mount Angel Seminary,Mount Angel Seminary  an apostolate of the Benedictine monks of Mount Angel Abbey  is a school whose primary purpose is the human  spiritual  intellectual and pastoral formation of men for the Roman Catholic priesthood. The Seminary is comprised of a Graduate School of Theology  and a College of Liberal Arts and  for seminarians requiring additional preparation to enter the Graduate School  a Pre-Theology program.  In addition  the Graduate School of Theology offers theological education to qualified laymen and women. The Seminary's programs adhere to the norms established by the Holy See and the United States Conference of Catholic Bishops as stated in the Program of Priestly Formation. (Approved by the Seminary Board of Directors)
Mount Carmel College of Nursing,TOO MANY REQUEST
Mount Holyoke College,As the first of the renowned Seven Sisters colleges Mount Holyoke has and always will be an innovator in designing and delivering an inclusive and exploratory liberal arts education.
Mount Marty University,Mount Marty University  an academic community in the Catholic Benedictine liberal arts tradition  prepares students for a contemporary world of work  service to the human community and personal growth.
Mount Mary University,TOO MANY REQUEST
Mount Mercy University,Apply scholarships and visits for freshmen and transfers
Mount Saint Joseph University,Here at the Mount we mean it when we say its about something much bigger than any of us.
Mount Saint Mary College,Mount Saint Mary College is an institution of higher education guided by the Catholic and Dominican traditions of academic rigor pursuit of truth social justice leadership and service. The College Bylaws indicate that Mount Saint Mary College “aims to give its students a Catholic cultural-professional education in the liberal arts tradition.”
Mount Saint Mary's University,Mount Saint Marys University offers a dynamic learning experience in the liberal arts and sciences to a diverse student body.
Mount St. Mary's University,As a Catholic university Mount St. Marys graduates ethical leaders who are inspired by a passion for learning and lead lives of significance in service to God and others.
Mount Vernon Nazarene University,Mount Vernon Nazarene University exists to shape lives through educating the whole person and cultivating Christ-likeness for lifelong learning and service.
Muhlenberg College,Approved by the Board of Trustees October 28 2019
Multnomah University,It is the mission of Multnomah University to equip Christian students through higher education to become biblically competent academically proficient spiritually formed and culturally engaged servant leaders shaped to be a transforming force in the church community and world.
Murray State University,Murray State University places our highest priority on student learning and excellent teaching  blending the range of educational opportunities often experienced at research institutions with the nurturing student-teacher interactions usually found at smaller universities. We offer relevant undergraduate and graduate degree programs with core studies in the liberal arts and sciences  leading to degrees from certificates to advanced practice doctorates that prepare students for success. Through effective and creative teaching  the opportunity to apply knowledge and skills to real-world situations  and academic and student support services  our quality faculty and staff foster student growth in knowledge  critical inquiry  and innovative thinking. As a public comprehensive university dedicated to diversity  global awareness  and intellectual curiosity  we actively engage students  faculty  staff  and the community in collaborative scholarship  creative activity  and research. We invest in our communities through thoughtful public service in our 18-county service region and beyond. Our uniqueness arises from our combination of academic excellence  welcoming atmosphere  and dedication to student success through mentored  real-world learning opportunities in an open-minded and supportive learning environment.
Muskingum University,The mission of Muskingum University is to offer quality academic programs in the liberal arts and sciences in the setting of a residential coeducational church-related university and in the context of a caring community where individual fulfillment is encouraged and human dignity is respected. Its primary purpose is to develop—intellectually spiritually socially and physically—whole persons by fostering critical thinking positive action ethical sensitivity and spiritual growth so that they may lead vocationally productive personally satisfying and socially responsible lives.
Naropa University,TOO MANY REQUEST
National American University-Ellsworth AFB Extension,We create opportunities. We empower people. We transform lives.
National American University-Kings Bay,We create opportunities. We empower people. We transform lives.
National American University-Rapid City,We create opportunities. We empower people. We transform lives.
National Louis University,TOO MANY REQUEST
National University,To deliver accessible world-class student experiences by providing quality programs and services that ensure student success through meaningful learning.
Nazarene Bible College,Nazarene Bible College exists to glorify Jesus Christ as Lord by preparing adults to evangelize disciple and minister to the world.
Nazareth College,Nazareth fosters integrated learning through action and reflection educating whole persons who are guided by empathy committed to equity and prepared to lead innovation for our time.
Nebraska Methodist College of Nursing & Allied Health,As a health professions institution  we provide educational experiences for the development of individuals in order that they may positively influence the health and well being of the community.
Nebraska Wesleyan University,Nebraska Wesleyan University is an academic community dedicated to intellectual and personal growth within the context of a liberal arts education and in an environment of Christian concern.
Ner Israel Rabbinical College,The mission of Ner Israel Rabbinical College is to train our students to become outstanding Talmidei Chachomim who through their knowledge  teaching and steadfast commitment to Torah and Mitzvos  will pass on our Mesorah to the next generation. We teach the skills of Talmudic Torah scholarship and encourage the centrality of Torah centered Jewish living. It is our belief that all will be more successful at their chosen course  due to this education. Whatever career path our students choose  they will serve in those roles better and be active members of their communities because of their Yeshiva educational experience.
Neumann University,When the Sisters of St. Francis of Philadelphia opened the doors of Our Lady of Angels College in September 1965 the total enrollment was 115 female students. Today as Neumann University (NU) the university educates nearly 3000 students engages over 16000 alumni and is one of the largest employers in Aston Township PA.
Neumont College of Computer Science,As an institution Neumont College of Computer Science is filled with people who are passionate about computer science education; our mission statement and values reflect that passion and show what drives our decision-making processes. Our mission statement is
Nevada State College,Around a kitchen table Henderson leaders envision a four-year state college to train teachers.
New College of Florida,TOO MANY REQUEST
New England College,TOO MANY REQUEST
New Hope Christian College-Eugene,TOO MANY REQUEST
New Jersey City University,New Jersey City University (NJCU) provides a diverse population with an excellent education. The University is committed to the improvement of the educational intellectual cultural socioeconomic and physical environment of the surrounding urban region and beyond.
New Jersey Institute of Technology,NJIT is committed to the pursuit of excellence in education research economic development and engagement.
New Mexico Highlands University,TOO MANY REQUEST
New Mexico Institute of Mining and Technology,New Mexico Tech aspires to be a preeminent community of scholars dedicated to research education and innovation – advancing science technology engineering and mathematics – to meet the challenges of tomorrow. We will drive innovation and education through transdisciplinary collaborations.
New Mexico State University-Main Campus,The mission of the New Mexico State University system is to serve the diverse needs of the state through comprehensive programs of education research extension and outreach and public service. As the states land-grant and space-grant university and as a Hispanic Serving Institution NMSU fosters learning inquiry diversity and inclusion social mobility and service to the broader community.
New York Film Academy,Through its educational programs  NYFA propagates visual literacy and visual storytelling through hands-on intensive learning. It seeks to make visual storytelling education accessible to the most diverse  international  and broadest possible spectrum of students  and to hone the skills of future professionals so that they may one day serve the visual storytelling arts as industry leaders.
New York Institute of Technology,Since 1955 New York Tech has pursued its mission to:
New York School of Interior Design,Mission StatementNew York School of Interior Designs singular focus is to provide the most innovative immersive and transformative interior design education in the world.
New York University,Join our more than 40000 students studying in hundreds of programs on six continents all around the globe.
Newberry College,Newberry College prepares students in the Lutheran liberal arts tradition through its supportive academic community for lifelong intellectual and personal development  meaningful vocation  and engaged citizenship in the global society.
Newman University,Newman University is a Catholic university named for St. John Henry Newman and founded by the Adorers of the Blood of Christ for the purpose of empowering graduates to transform society.
Newschool of Architecture and Design,TOO MANY REQUEST
Niagara University,Accounting students from Niagara Universitys Holzschuh College of Business Administration and members of its Accounting Society and Beta Alpha Psi will again provide members of the Niagara Falls community free tax preparation assistance through th... Read On →
Nicholls State University,TOO MANY REQUEST
Nichols College,Within a supportive community Nichols College transforms todays students into tomorrows leaders through a dynamic career-focused business and professional education
Nightingale College,With the primary focus on higher learning in health care professions Nightingale College contributes to elevating education health and employment systems through facilitation of academic achievement personal growth and professional development of its learners alumni and collaborators while serving diverse communities.
Norfolk State University,Norfolk State University a comprehensive urban public institution is committed to transforming students lives through exemplary teaching research and service. Offering a supportive academic and culturally diverse environment for all the University empowers its students to turn their aspirations into reality and achieve their full potential as well rounded resourceful citizens and leaders for the 21st century.
North American University,TOO MANY REQUEST
North Carolina A & T State University,An 1890 land-grant doctoral high research activity university North Carolina Agricultural and Technical State University prepares students to advance the human condition and facilitate economic growth in North Carolina and beyond by providing a preeminent and diverse educational experience through teaching research and scholarly application of knowledge.
North Carolina Central University,North Carolina Central University  with a strong tradition of teaching  research  and service  prepares students to become global leaders and practitioners who transform communities. Through a nationally recognized law school  highly acclaimed and innovative programs in visual and performing arts  sciences  business  humanities  and education programs  NCCU students are engaged problem solvers. Located in the Research Triangle  the University advances research in the biotechnological  biomedical  informational  computational  behavioral  social  and health sciences. Our students enhance the quality of life of citizens and the economic development of North Carolina  the nation  and the world.
North Carolina State University at Raleigh,TOO MANY REQUEST
North Carolina Wesleyan College,North Carolina Wesleyan College  a private institution affiliated with the United Methodist Church  prepares students for professional advancement  life-long learning  and responsible participation in their communities.
North Central College,We are a diverse community of learners dedicated to preparing students to be curious engaged ethical and purposeful citizens and leaders in local national and global contexts.
North Central University,North Central University is a Christ-centered  Bible-based  Pentecostal school with a commitment to academic excellence that prepares students to fulfill biblical models of leadership and ministry throughout the world.
North Dakota State University-Main Campus,TOO MANY REQUEST
North Greenville University,TOO MANY REQUEST
North Park University,The mission of North Park University as the University of the Evangelical Covenant Church is to prepare students for lives of significance and service through education in the liberal arts professional studies and theology.
Northeastern Illinois University,Northeastern Illinois University as a public comprehensive university with locations throughout Chicago provides an exceptional environment for learning teaching and scholarship. We prepare a diverse community of students for leadership and service in our region and in a dynamic multicultural world.
Northeastern State University,TOO MANY REQUEST
Northeastern University,To educate students for a life of fulfillment and accomplishment.    To create and translate knowledge to meet global and societal needs.
Northern Arizona University,NAU aims to be the nations preeminent engine of opportunity vehicle of economic mobility and driver of social impact by delivering equitable postsecondary value in Arizona and beyond.
Northern Illinois University,Northern Illinois Universitys vision is to be an engine for innovation to advance social mobility; promote personal professional and intellectual growth; and transform the world through research artistry teaching and outreach.
Northern Kentucky University,Northern Kentucky University delivers innovative student-centered education and engages in impactful scholarly and creative endeavors all of which empower our graduates to have fulfilling careers and meaningful lives while contributing to the economic civic and social vitality of the region.
Northern Michigan University,Northern Michigan Universitys distinctive academic and career programs are nurtured by exceptional teaching and extensive opportunities for scholarship creativity and engagement. Our supportive connected community empowers students graduates faculty and staff to contribute to a diverse and sustainable world.
Northern State University,TOO MANY REQUEST
Northern Vermont University,Northern Vermont University (NVU) fosters the intellectual  creative  and personal growth of every student in a community committed to diversity and inclusion. We provide innovative professional and liberal arts educational experiences that prepare students to be critical thinkers and engaged global citizens.
Northland College,Founded in 1892 Northland College is the first college in the country to fully integrate an environmental focus with its liberal arts curriculum. Located on the south shore of Lake Superior surrounded by northern forests we inspire students to explore the fundamental interconnections between nature place and people.
Northpoint Bible College,Northpoint Bible College exists to teach and to train students for excellent Pentecostal ministry  in fulfillment of the Great Commission.
Northwest College of Art & Design,NCAD prepares students to reach their creative technical and professional potential. We educate individuals for the challenges of contemporary creative business practice by developing critical thinking creativity problem-solving communication and leadership skills. Along with cultivating cross-cultural and global awareness NCAD develops the whole professional ready for the demands of the creative industry.
Northwest Missouri State University,Northwest Missouri State University focuses on student success - every student every day.
Northwest Nazarene University,TOO MANY REQUEST
Northwest University,We the people of Northwest University carry the call of God by continually building a learning community dedicated to spiritual vitality academic excellence and empowered engagement with human need.
Northwest University-Center for Online and Extended Education,We the people of Northwest University carry the call of God by continually building a learning community dedicated to spiritual vitality academic excellence and empowered engagement with human need.
Northwestern College,Our Christian college might be right for you. Learn how youll grow intellectually and spiritually. See what scholarships you qualify for. Visit us.
Northwestern Health Sciences University,TOO MANY REQUEST
Northwestern Oklahoma State University,Northwestern Oklahoma State University provides quality educational and cultural opportunities to learners with diverse needs by cultivating ethical leadership and service  critical thinking and fiscal responsibility.
Northwestern State University of Louisiana,TOO MANY REQUEST
Northwestern University,TOO MANY REQUEST
Northwood University,TOO MANY REQUEST
Norwich University,Norwichs mission statement is one of the most unique statements found in higher education. We know exactly who we are why we are here and where we are going.
Nossi College of Art,It is the mission of Nossi College of Art to accept creatively talented students and provide them with educational opportunities that will enable them to successfully use their talents in the commercial business world. By way of our associate and bachelor degree programs  our students will obtain formal recognition of their development and educational achievements.    It is an additional aspect of our mission to provide our students with the necessary decision-making skills and appropriate judgement to become competent visual communicators. We will also give our students and understanding of the fundamentals of traditional art and photography while providing a hands-on  practical education in design  illustration  photography and videography.    TO ACHIEVE THIS MISSION  NOSSI COLLEGE OF ART WILL:    1. Employ extremely qualified faculty members who are professionals in their areas of expertise.    2. Provide students with a unique creative learning environment.    3. Continually upgrade equipment and software relevant to the industry.    4. Emphasize the value of each individual and that individual's talents by acknowledging the creativity of every student and instilling in each student self-confidence and life-enhancing skills.    5. Provide small classrooms with a rigorous and well-designed curriculum.    6. Assist all graduates in their career searches.    Nossi College of Art's greatest asset is its creative students and the college's ultimate achievement is its successful alumni.
Notre Dame College,TOO MANY REQUEST
Notre Dame of Maryland University,Notre Dame of Maryland University educates leaders to transform the world.
Nova Southeastern University,Sharks always move forward—its part of their DNA. And its also the same for NSU. Were proud of being a force of nature committed to working to improve our world. We harness the best within ourselves to continue advancing and making a difference. Part of that drive to move forward is exemplified by our shared vision for the future.
Nyack College,"Nyack College  a Christian and Missionary Alliance educational institution  through its undergraduate  graduate and seminary programs  pursues its historic mission of preparing men and women to ""take the whole Gospel to the whole world."""
Oak Hills Christian College,Oak Hills Christian College is a Christian academic community whose mission is to provide biblically centered higher education which contributes to growth toward Christ-likeness and prepares students for effective service in their homes  careers  churches  and communities.
Oak Valley College,Transforming lives through applied education within a Christian community with no student loans.
Oakland City University,TOO MANY REQUEST
Oakland University,Oakland University cultivates the full potential of a diverse and inclusive community. As a public doctoral institution  we impact Michigan and the world through education  research  scholarship  and creative activity.
Oakwood University,TOO MANY REQUEST
Oberlin College,Oberlin College an independent coeducational institution holds a distinguished place among American colleges and universities. Oberlin was the first college to grant undergraduate degrees to women in a coeducational program and historically was a leader in the education of African Americans. The Oberlin community is known for its academic and musical excellence and its commitment to social engagement and diversity.
Occidental College,The mission of Occidental College is to provide a gifted and diverse group of students with a total educational experience of the highest quality—one that prepares them for leadership in an increasingly complex interdependent and pluralistic world.
Oglethorpe University,TOO MANY REQUEST
Ohio Christian University,Ohio Christian University prepares students to serve effectively in the church and society by providing a holistic  Christ-centered  Biblically integrated education in the Wesleyan tradition.
Ohio Dominican University,The Mission of Ohio Dominican University – As a Catholic liberal arts university in the Dominican tradition Ohio Dominican University is guided in its educational mission by the Dominican motto: to contemplate truth and to share with others the fruits of this contemplation. Ohio Dominican educates individuals committed to intellectual spiritual and professional growth who develop into lifelong learners serving others in a global society. They in turn become ethical and effective leaders grounded in the pursuit of truth justice and peace.
