Institution Name,Mission statement (IC2020mission)
Cox College,Cox College is committed to excellence by meeting the educational needs of students and the health care community.
Creighton University,Creighton is a Catholic and Jesuit comprehensive university committed to excellence in its selected undergraduate graduate and professional programs.As Catholic Creighton is dedicated to the pursuit of truth in all its forms and is guided by the living tradition of the Catholic Church.As Jesuit Creighton participates in the tradition of the Society of Jesus which provides an integrating vision of the world that arises out of a knowledge and love of Jesus Christ.As comprehensive Creighton’s education embraces several colleges and professional schools and is directed to the intellectual social spiritual physical and recreational aspects of students’ lives and to the promotion of justice.
Criswell College,
Crowley's Ridge College,Crowley's Ridge College is a private four-year church affiliated but autonomous  co-educational liberal arts college  providing for its students a balanced course of studies appropriate for Bachelor and Associate Degrees. While the college is affiliated with the Churches of Christ  students of all religious backgrounds are welcome at Crowley's Ridge College. The student population comprises both non-traditional and traditional residential and commuter students.    The college is committed to a continual emphasis on the integration of scholarship  critical thinking  service and the spiritual dimension of life. Preserving a commitment to a tradition of small class sizes and a philosophy of open enrollment helps the college maintain a focus on the whole student as an individual.
Crown College,The mission of Crown College is to provide a biblically-based education for Christian leadership in The Christian and Missionary Alliance  the church-at-large  and the world.
Culver-Stockton College,At Culver-Stockton College our students come first. Our 14:1 student-to-faculty ratio means you’ll enjoy focused individualized attention. We are committed to your success.
Cumberland University,At Cumberland University we strive every day to inspire our students to rise and fulfill their greatest potential. We have an inexhaustible drive for excellence which fuels our desire to be the leading university in Tennessee who prepares students for meaningful careers and impactful lives. We offer competitive associate bachelor’s and master’s degrees including online degree programs that blend the arts and humanities with practical knowledge and skills to position our students for a lifetime of success.
CUNY Bernard M Baruch College,
CUNY Brooklyn College,
CUNY City College,
CUNY Graduate School and University Center,
CUNY Hunter College,
CUNY John Jay College of Criminal Justice,
CUNY Lehman College,
CUNY Medgar Evers College,
CUNY New York City College of Technology,
CUNY Queens College,
CUNY York College,York College's hallmark academic programs in liberal arts and sciences will be recognized as centers of excellence within CUNY attracting and graduating some of the best and most highly-motivated students from New York City and the greater New York area. We will be the first choice for prospective CUNY students interested in the health professions allied health sciences and business including aviation management. York College will also establish itself as a model for enabling first generation college students to earn an undergraduate degree and will fulfill students' individual academic goals while preparing them for graduate education and the competitive marketplace. Students are at the center of their own learning at York College. We offer multiple opportunities for student engagement inquiry and research-based scholarship and experiential learning. York maintains a vibrant campus where students actively participate in extra-curricular programs and collaborate with faculty and academic peers whose backgrounds are distinctly different from their own. The College has a dynamic student life with athletic and visual/performing arts programs special interest clubs and social organizations where students develop enduring relationships and refine interpersonal skills.
Curry College,Come see what BECOMING at Curry is all about!
Curtis Institute of Music,To educate and train exceptionally gifted young musicians to engage a local and global community through the highest level of artistry.
D'Youville College,
Daemen University,The mission of Daemen University is to prepare creative ethically-minded leaders for a diverse and interconnected world by integrating the intellectual strengths acquired through the liberal arts with the preparation necessary for professional excellence to make meaningful contributions to society.
Dakota State University,
Dakota Wesleyan University,Dakota Wesleyan University will be at the forefront of building different innovative and relevant pathways for higher education that increase access and impact.
Dallas Baptist University,The mission of Dallas Baptist University is to provide Christ-centered quality higher education in the arts  sciences  and professional studies at both the undergraduate and graduate levels to traditional age and adult students in order to produce servant leaders who have the ability to integrate faith and learning through their respective callings.
Dallas Christian College,Dallas Christian College educates and mentors students to be people of influence  engaging in their calling to the work of Christ in the Church and in the world.
Dalton State College,Learn about being a Dalton State student our quality academics and how we transform lives through education. Campus tours are offered weekly.
Dartmouth College,Dartmouth educates the most promising students and prepares them for a lifetime of learning and of responsible leadership through a faculty dedicated to teaching and the creation of knowledge.
Davenport University,Davenport University prepares and transforms students to achieve the highest levels of academic performance  leading them to excel and advance in their chosen fields in the 21st century.
Davidson College,Davidson College is an institution of higher learning established in 1837 by Presbyterians of North Carolina.
Davis & Elkins College,
Davis College,Davis College admits students of any race color nationality and ethnic origin to all the rights privileges programs and activities generally accorded or made available to students at the college. Davis College does not discriminate on the basis of race color nationality age handicap ethnic origin sex or veteran status in its educational policies admissions policies scholarship and loan programs and athletic and other school-administered programs.
Dean College,Dean College is a private residential New England college grounded in a culture and tradition that all students deserve the opportunity to discover and exceed their greatest aspirations. A personal and transformative community since 1865 Dean tirelessly inspires our students to unimagined heights through personalized support and integrated delivery of academic co-curricular and experiential learning. Our graduates are lifelong learners who thrive in their careers embrace social responsibility and demonstrate leadership.
Defiance College,
Delaware State University,Delaware State University is a public  comprehensive  1890 land-grant institution that offers access and opportunity to diverse populations from Delaware  the nation  and the world. Building on its heritage as a historically black college  the University purposefully integrates the highest standards of excellence in teaching  research  and service in its baccalaureate  master's and doctoral programs. Its commitment to advance science  technology  liberal arts  and the professions produces capable and productive leaders who contribute to the sustainability and economic development of the global community.
Delaware Valley University,Endorsed by the Delaware Valley University Board of TrusteesJanuary 25 2019
Delta State University,Delta State University is a public institution providing a comprehensive undergraduate and graduate curriculum to approximately 3500 students representing all of the states and 50 different countries. Dozens of degree programs on the undergraduate level provide educational opportunities in the Colleges of Arts and Sciences Business and Education and in the Robert E. Smith School of Nursing. Graduate programs on the master’s educational specialist and doctoral levels provide advanced training in a broad range of disciplines.
Denison University,Denison’s purpose is to inspire and educate its students to become autonomous thinkers discerning moral agents and active citizens of a democratic society.
DePaul University,As an innovative Catholic Vincentian university anchored in the global city of Chicago DePaul supports the integral human development of its students. The university does so through its commitment to outstanding teaching academic excellence real world experience community engagement and systemic change. DePaul prepares graduates to be successful in their chosen fields and agents of transformation throughout their lives.
DePauw University,DePauw has launched leaders the world needs for nearly two centuries through a gold-standard residential learning experience in and out of the classroom.
DeSales University,What makes DeSales so special? As a Catholic Salesian university everything we do — from classes to activities and all things in between — is imbued with our mission.
Design Institute of San Diego,© 2023 Design Institute of San Diego. All rights reserved.|Privacy Policy|Website Accessibility|Terms of Use Policy|Terms and Conditions for Payment|Cookies Notice
DeVry College of New York,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Arizona,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-California,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Colorado,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Florida,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Georgia,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Illinois,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Missouri,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Nevada,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-New Jersey,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-North Carolina,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Ohio,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Pennsylvania,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Tennessee,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Texas,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
DeVry University-Virginia,The mission of DeVry University is to foster student learning through high-quality  career-oriented education integrating technology  science  business and the arts. The university delivers practitioner-oriented undergraduate and graduate programs onsite and online to meet the needs of a diverse and geographically dispersed student population.
Dickinson College,Dickinson College was created explicitly for high purposes- to prepare young people  by means of a useful education in the liberal arts and sciences  for engaged lives of citizenship and leadership in the service of society.
Dickinson State University,Dickinson State University is a regional comprehensive institution within the North Dakota University System  whose primary role is to contribute to intellectual  social  economic  and cultural development  especially to Southwestern North Dakota. The University’s mission is to provide high-quality  accessible programs; to promote excellence in teaching and learning; to support scholarly and creative activities; and to provide service relevant to the economy  health  and quality of life for the citizens of the State of North Dakota.
DigiPen Institute of Technology,DigiPen Institute of Technology provides exemplary education and furthers research and innovation in science  engineering  arts  digital media  and interactive computer technologies. Building on a foundation of academics  applied learning  industry knowledge  and multi-disciplinary team-based collaborations  we inspire our students to pursue lifelong learning as well as scientific and creative exploration  and empower them to become leaders and originators on a global level.
Dillard University,Dillard University's mission is to produce graduates who excel  become world leaders  are broadly educated  culturally aware  and concerned with improving the human condition. Through a highly personalized and learning-centered approach  Dillard's students are able to meet the competitive demands of a diverse  global and technologically advanced society.
Divine Word College,Divine Word College embodies and gives expression to several beliefs fundamental to the Society of the Divine Word.
Doane University,© Doane University is an equal opportunity educator and employer. This site is produced and maintained by Doane University.
Dominican College of Blauvelt,
Dominican University,As a Sinsinawa Dominican-sponsored institution  Dominican University prepares students to pursue truth  to give compassionate service and to participate in the creation of a more just and humane world.
Dominican University of California,Dominican University of California50 Acacia Avenue San Rafael CA 94901
Dordt University,Learn how you can give back to Dordt University and support our mission to provide distinctly Christ-centered education for decades to come.
Drake University,Our mission:Provide an exceptional learning environment that prepares students for meaningful personal lives professional accomplishments and responsible global citizenship. The Drake experience is distinguished by collaborative learning among students faculty and staff and by the integration of the liberal arts and sciences with professional preparation.
Drew University,Drew University’s mission is to offer its diverse community of learners a challenging and individualized education shaped by a deep-rooted culture of mentoring thoughtful engagement with the world beyond its campus and a steadfast commitment to lifelong cultivation of the whole person. Through its distinctive emphasis on the reciprocity of knowledge experience and service Drew prepares its students to flourish both personally and professionally as they add to the world’s good by responding to the urgent challenges of our time with rigorous independent and imaginative thought.
Drexel University,
Drury University,Drury is an independent university church-related grounded in the liberal arts tradition and committed to personalized education in a community of scholars who value the arts of teaching and learning. Education at Drury seeks:
Drury University-College of Continuing Professional Studies,
Duke University,Approved by the Duke University Board of Trustees October 1 1994 and revised February 23 2001 the Mission Statement for Duke University reads as follows:
Duquesne University,Copyright©2023 Duquesne University. All Rights Reserved.
Eagle Gate College-Layton,
Eagle Gate College-Murray,
Earlham College,
East Carolina University,
East Central University,We educate and empower students to understand and transform our world.
East Stroudsburg University of Pennsylvania,East Stroudsburg University is one of fourteen State-owned institutions in the Pennsylvania'                           State System of Higher Education whose mission is undertaken in behalf of those who'                           support it the—citizenry—through their governor and legislature students and alumni'                           and other friends who share its commitments.
East Tennessee State University,©East Tennessee State University — All Rights Reserved.
East Texas Baptist University,As a Christ-centered institution  East Texas Baptist University educates students by integrating biblical faith and learning to develop mind  body  and soul through community engagement to prepare graduates to be Christian servant leaders in their calling to God and humanity.
East-West University,East-West University educates students to participate in a global society. A pioneer in diversity the University opens doors of academic and intellectual opportunity to students of diverse backgrounds ethnicities and religions. Faculty members engage students in rigorous study and research and students supplement their classroom experience with experience in professional environments.
Eastern Connecticut State University,Eastern Connecticut State University engages students from diverse backgrounds in a transformative liberal arts learning experience that provides knowledge and skills to lead enriching purposeful lives.
Eastern Illinois University,Eastern Illinois University is a public comprehensive university that offers superior accessible undergraduate and graduate education. Students learn the methods and results of free and rigorous inquiry in the arts humanities sciences and professions guided by a faculty known for its excellence in teaching research creative activity and service. The University community is committed to diversity and inclusion and fosters opportunities for student-faculty scholarship and applied learning experiences within a student-centered campus culture. Throughout their education students refine their abilities to reason and to communicate clearly so as to become responsible citizens and leaders.
Eastern Kentucky University,VisionEastern Kentucky University will be a premier university dedicated to innovative student engagement and success advancing Kentucky and impacting the world.
Eastern Mennonite University,Eastern Mennonite University founded in 1917 is an educational institution of Mennonite'                     Church USA serving students of diverse religious and cultural backgrounds. EMU confers'                     undergraduate graduate and seminary degrees in the liberal arts applied sciences'                     and professions.
Eastern Michigan University,
Eastern Nazarene College,
Eastern New Mexico University-Main Campus,
Eastern Oregon University,Adopted 2004 EOU University Assembly Reaffirmed 2007; Approved 2008 and 2012 Oregon State Board of Higher Education; Reaffirmed 2014; Adopted 2016 by Eastern Oregon University Board of Trustees; Approved 2018 Higher Education Coordinating Commission
Eastern University,As a community Eastern University will Listen. Love. Learn. Lead.
Eastern Washington University,Eastern Washington University expands opportunities for personal transformation through excellence in learning.
Ecclesia College,
Eckerd College,The mission of Eckerd College is to provide excellent innovative undergraduate liberal arts education and lifelong learning programs in the unique Florida environment within the context of a covenant relationship with the Presbyterian Church (USA).
Edgewood College,Edgewood College rooted in the Dominican tradition engages students within a community of learners committed to building a just and compassionate world. The College educates students for meaningful personal and professional lives of ethical leadership service and a lifelong search for truth.
Edinboro University of Pennsylvania,
Edward Waters University,Feel at home atEdward Waters
Elizabeth City State University,Elizabeth City State University  a constituent institution of the University of North Carolina  offers baccalaureate  graduate  and professional programs for a diverse student body.  The institution's rich heritage provides a firm foundation for its educational endeavors  as well as its role in serving the needs and aspirations of individuals and society.     Through teaching  research  and community engagement  Elizabeth City State University provides a student-centered environment  delivered in a manner that enhances student learning  while preparing its graduates for leadership roles and lifelong learning. The university is also a leader in facilitating sustainable economic growth  while safeguarding the unique culture and natural resources of the region.
Elizabethtown College,Elizabethtown College provides a transformative educational experience that cultivates personal strengths and develops a passion for lifelong learning and purposeful work.
Elmhurst University,Home»About Elmhurst University»Mission Vision and Values
Elmira College,Grounded in the liberal arts and sciences  Elmira College provides a collaborative and supportive environment that enables students to become active learners  effective leaders  responsible community members  and globally engaged citizens. Proud of its history and tradition  the College is committed to the ideals of community engagement and intellectual and personal growth.
Elon University,Elon University embraces its founders’ vision of an academic community that transforms mind body and spirit and encourages freedom of thought and liberty of conscience.
Embry-Riddle Aeronautical University-Daytona Beach,© Copyright 2022-2023 Embry-Riddle Aeronautical University. All rights reserved. Administrative Offices: 1 Aerospace Boulevard Daytona Beach FL 32114
Embry-Riddle Aeronautical University-Prescott,
Embry-Riddle Aeronautical University-Worldwide,
Emerson College,About Emerson
Emmanuel College,Emmanuel College is a Christ-centered  liberal arts institution which strives to prepare students to become Christ-like disciples who integrate faith  learning and living for effective careers  scholarship and service.
Emmanuel College,Vision StatementEmmanuel will be widely esteemed as the college in the heart of Boston that leads the nation in combining an extraordinary liberal arts and sciences education in the Catholic intellectual tradition with a commitment to strong relationships ethical values and service to others. Students will choose Emmanuel as the place to develop in every respect while preparing for lives of leadership professional achievement global engagement and profound purpose.
Emmaus Bible College,Our mission as a biblical higher education community is to glorify God by educating and equipping learners to impact the world for Christ through faithful and effective service in their ministries  professions  and communities.
Emory & Henry College,“Increase in Excellence” the historic motto of Emory & Henry College expresses our intention to be a learning community that moves toward fulfilling every student’s potential.
Emory University,As a leading research university Emory’s focus is the number of lives saved partnerships forged and discoveries driven—across the globe.
Emporia State University,Preparing students for lifelong learning  rewarding careers  and adaptive leadership.  Formal education provides the basis for the continued pursuit of knowledge to enrich one’s personal and professional life  independent of time and place. Adaptive – collegial – leadership recognizes the many contributions of individuals toward society’s common interests and aspirations.
Endicott College,Advance your career with a master’s degree or certificate or reach the academic pinnacle of your profession through a doctoral degree at Endicott.
Epic Bible College & Graduate School,At Epic Bible College & Graduate School we are honored to connect and support the churches of our local regions as well as the international ministries and missionary efforts.Our students represent so many different denominations from around the world that trust us to train their pastors in the Bible
Erskine College,
Eureka College,One of the reasons Eureka College faculty students and alumni find success is because we are guided by a common purpose greater than our individual goals. All Eureka College members subscribe to and aim to learn lead and serve in accordance with our vision mission & values.
Evangel University,Evangel University is a comprehensive Christian university committed to excellence in educating and equipping students to become Spirit-empowered servants of God who impact the Church and society globally.
Everglades University,The mission of Everglades University is to provide quality education to adult learners of diverse backgrounds in a collaborative environment where each individual has the opportunity to achieve personal growth. The University seeks to accomplish its mission by combining small class sizes and innovative programs with traditional academic values. The University supports the academic endeavor and service  to deliver graduate and undergraduate programs both on campus and online.
Fairfax University of America,Fairfax University of America’s mission is to provoke principled and transformative leadership based on peace and security global communities character stewardship and development.
Fairfield University,Founded by the Society of Jesus in 1942 Fairfield University is a coeducational institution of higher learning whose primary objectives are to develop the creative intellectual potential of students and to foster in them ethical and religious values and a sense of social responsibility. Jesuit Education which began in 1547 is committed to the service of faith of which the promotion of justice is an absolute requirement.
Fairleigh Dickinson University-Florham Campus,
Fairleigh Dickinson University-Metropolitan Campus,
Fairmont State University,Fairmont State University is a comprehensive student-centered state-supported institution offering dozens of certificate and degree programs at the associate bachelor and master levels via 41-degree programs and over 90 fields of study.
Faith Baptist Bible College and Theological Seminary,
Faith International University,Faith International University & Seminary exists to glorify God by equipping Christian leaders with a biblical  theological  and practical education empowering them to apply and proclaim the inerrant Word of God for worldwide Christian service.
Family of Faith Christian University,
Farmingdale State College,Dedicated to student success Farmingdale State College delivers exceptional academic'                           and applied learning outcomes through scholarship research and student engagement'                           for Long Island and beyond.  FSC's commitment to student-centered learning and inclusiveness'                           prepares graduates to be exemplary citizens equipped to excel in a competitive diverse'                           and technologically dynamic society.
Faulkner University,
Fayetteville State University,Fayetteville State University (FSU) a public comprehensive Historically Black University offers robust and innovative degree programs rooted in the liberal arts tradition. The university advances knowledge through the integration of teaching learning research and public service. FSU strives to meet the educational career and personal aspirations of its students from rural military and other diverse backgrounds so that they are equipped with academic and practical knowledge to serve local state national and global communities as enlightened citizens globally astute leaders and engaged solution creators.
Felician University,Felician University’s athletic philosophy emphasizes the development of the total person — the student as well as the athlete. It is essential that all student-athletes be provided the direction assistance and guidance needed to reach their goals in all areas of college life: academic spiritual and social.
Ferris State University,
Ferrum College,Founded in 1913 Ferrum College is a private liberal arts college related to the United Methodist Church offering liberal arts and professional programs such as business recreation leadership musical theatre agriculture environmental science teacher education and criminal justice. Surrounded by the Blue Ridge Mountains numerous lakes rivers and state parks Ferrum College provides an outstanding educational experience in a setting of rich natural beauty.
Finlandia University,Finlandia is a learning community dedicated to academic excellence spiritual growth and service.
Fisher College,Since 1903 Fisher College has empowered students through education one student at a time. What better place to be a student than Boston one of America’s most premier college towns? With Fisher’s central location you’ll have immediate access to all the city has to offer.
Fisk University,Fisk University produces graduates from diverse backgrounds with the integrity and intellect required for substantive contributions to society.  Our curriculum is grounded in the liberal arts  and our faculty and administrators emphasize the discovery and advancement of knowledge through research in the natural and social sciences  business and the humanities.  We are committed to the success of scholars and leaders with global perspective.
Fitchburg State University,Fitchburg State University is committed to excellence in teaching and learning and blends liberal arts and sciences and professional programs within a small college environment. Our comprehensive public university prepares students to lead serve and succeed by fostering lifelong learning and civic and global responsibility. A Fitchburg State education extends beyond our classrooms to include residential professional and co-curricular opportunities. As a community resource we provide leadership and support for the economic environmental social and cultural needs of North Central Massachusetts and the Commonwealth.
Five Towns College,
Flagler College,Flagler College offers an exceptional education through a challenging inclusive and supportive academic community integrated with the thriving culture and history of this unique place St. Augustine. We foster intellectual social and personal transformation in our students. We prepare them for a diverse world that will always need discerning individuals responsible citizens and visionary leaders. The College is committed to the preservation of the former Hotel Ponce de Leon and other historic structures that grace its campus.
Florida Agricultural and Mechanical University,
Florida Atlantic University,
Florida Gulf Coast University,
Florida Institute of Technology,Florida Institute of Technology’s mission is to provide high-quality education to a culturally diverse student body in order to prepare students for entering the global workforce seeking higher-education opportunities and serving within their communities. The university also seeks to expand knowledge through basic and applied research and to serve the diverse economic cultural and societal needs of our local state national and international constituencies.
Florida Institute of Technology-Online,
Florida International University,Florida International University is an urban  multi-campus  public research university serving its students and the diverse population of South Florida. We are committed to high-quality teaching  state-of-the-art research and creative activity  and collaborative engagement with our local and global communities.
Florida Memorial University,
Florida National University-Main Campus,
Florida Polytechnic University,
Florida Southern College,Top guide books all recognize Florida Southern’s thriving residential campus life outstanding academics and engaged learning opportunities and robust financial assistance.
Florida State University,Florida State University
Fontbonne University,
Fordham University,Fordham University the Jesuit University of New York is committed to the discovery of Wisdom and the transmission of Learning through research and through undergraduate graduate and professional education of the highest quality. Guided by its Catholic and Jesuit traditions Fordham fosters the intellectual moral and religious development of its students and prepares them for leadership in a global society.
Fort Hays State University,Fort Hays State University provides accessible quality education to Kansas the nation and the world through an innovative community of teacher-scholars and professionals to develop engaged global citizen-leaders.
Fort Lewis College,Students are at the center of Fort Lewis College where we create inclusive experiential learning environments that foster innovation growth and community engagement.
Fort Valley State University,The mission of Fort Valley State University is to advance the cause of education with emphasis upon fulfilling commitments that our community members have undertaken collectively. As an institution of the University System of Georgia  Fort Valley State University naturally embraces the principles articulated by the Core Mission Statement for State Universities as approved by the Board of Regents of the University System of Georgia. The university's primary commitments include  among others  enhancement of teacher training programs grounded upon a liberal arts foundation  as reflective of over 110 years of experience and tradition. Additionally  the university recognizes with great pride and desires to further its responsibilities as Georgia's only 1890 Land Grant institution by offering programming excellence in agriculture  agribusiness  family and consumer sciences  extension  technology and military science and leadership  as well as to further its traditions of excellence in programs in the liberal arts and humanities  social sciences  and natural and physical sciences.
Framingham State University,Framingham State University prepares students for a productive life enhanced by learning and leadership that contributes to the culturally diverse world of the twenty-first century. The University is an important educational and cultural center in the MetroWest Region of Massachusetts committed to excellence access and service. A Framingham State University education cultivates thoughtful responsible local and global citizens prepares students for careers and positions them for success.
Francis Marion University,Give the giftof opportunity to a Francis Marion Patriot here.
Franciscan Missionaries of Our Lady University,The mission of Franciscan Missionaries of Our Lady University is to educate and form Franciscan servant leaders of all faiths. We honor and preserve the legacy of our founders by preparing highly skilled professionals integrated thinkers and faith-filled citizens. Inspired by the Franciscan Missionaries of Our Lady to be a living witness to Jesus Christ and the Gospel message the University is in communion with the teachings of the Catholic Church.
Franciscan University of Steubenville,
Franklin and Marshall College,Franklin & Marshall is a residential college dedicated to excellence in undergraduate liberal education. Its aims are to inspire in young people of high promise and diverse backgrounds a genuine and enduring love for learning  to teach them to read  write  and think critically  to instill in them the capacity for both independent and collaborative action  and to educate them to explore and understand the natural  social and cultural worlds in which they live. In so doing  the College seeks to foster in its students qualities of intellect  creativity  and character  that they may live fulfilling lives and contribute meaningfully to their occupations  their communities  and their world.
Franklin College,Mission: A Franklin College education fosters independent thinking innovation leadership and action for ever-changing professions and a globally connected world.
Franklin Pierce University,Franklin Pierce University delivers programs and educational experiences that develop'                        essential intellectual and professional skills; promotes close community connections;'                        and empowers our students to realize their potential through the intersection of highly'                        personalized liberal learning innovative engagement and professional programming.
Franklin University,Since 1902 Franklin University has been a pioneer in meeting the needs ofadult studentswho have the ambition to continue their college education in combination with other responsibilities. Serving adult learners wouldn’t be possible without a dedicated team of staff faculty andboard memberswho live out our mission vision and values every single day. Find out what drives us to serve you and the rest of our students with excellence.
Franklin W Olin College of Engineering,
Freed-Hardeman University,Our Identity...Freed-Hardeman University is an academic community associated with churches of Christ which is dedicated to providing excellent undergraduate graduate and professional programs.
Fresno Pacific University,Fresno Pacific Universitydevelops students for leadership and servicethrough excellence in Christian higher education.
Friends University,Friends University a Christian University of Quaker heritage equips students to honor God and serve others by integrating their intellectual spiritual and professional lives.
Frostburg State University,Frostburg State University is a student-centered teaching and learning institution featuring experiential opportunities. The University offers students a distinctive and distinguished baccalaureate education along with a select set of applied master’s and doctoral programs. Frostburg serves regional and statewide economic and workforce development; promotes cultural enrichment civic responsibility and sustainability; and prepares future leaders to meet the challenges of a complex and changing global society.
Full Sail University,
Furman University,
Galen College of Nursing-Louisville,Galen College of Nursing  driven by a culture dedicated to expanding access to nursing education  prepares diverse learners to demonstrate excellence and compassion in nursing through an educational approach immersed in innovation  technology  and student support.
Gallaudet University,
Gannon University,1-800-GANNON-U
Gardner-Webb University,
Gemini School of Visual Arts & Communication,"OUR MISSION  The school's mission  ""turning talent into profession"" is realized through a rigorous  integrated art and technology training program where students master traditional drawing and painting and then learn to apply those skills to cutting edge design software in our state of the art Digital Media Lab.  For a young artist in today's commercial market  the ability to combine strong traditional skills with strong design software knowledge is critical to obtaining employment with the top creative firms in the advertising  videogame  publishing  entertainment  technology and fine art industries.  Our graduates leave Gemini School as savvy professionals ready to succeed in any environment.     OUR PHILOSOPY  At Gemini School  we are dedicated to the education of professional artists.  From first year students to working concept artists  illustrators and designers  our programs are designed to provide professional-level instruction in art.  Our overall guiding philosophy is ""giving back.""  We believe that as professional artists  it is our responsibility to share our technical and artistic knowledge and experiences with future colleagues to ensure the advancement of our craft.  And  as working artists and educators  we believe in the tenants of artistic freedom  integrity and professional ethics- and expect the same from our students."
Geneva College,Geneva College′s mission is student-focused emphasizing Christ comprehensive education and service to God and neighbor. This is consistent with the college′s charter bylaws andFoundational Concepts of Christian Education as well as Geneva′s historic mottoPro Christo et Patria(For Christ and Country).
George Fox University,George Fox University  a Christ-centered community  prepares students spiritually  academically  and professionally to think with clarity  act with integrity  and serve with passion.
George Mason University,A public  comprehensive  research university established by the Commonwealth of Virginia in the National Capitol Region  we are an innovative and inclusive academic community committed to creating a more just  free  and prosperous world.
George Washington University,
